Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
Zaire Franklin,28,IND,LLB,17,17,2,82,66,635,2,96.9,5.1,302,333,43,3,1,0,3.5,8,173,24
Budda Baker,28,ARI,FS,17,17,0,74,55,608,7,129.8,7.4,364,244,31,2,1,0,2,5,164,18
Jamien Sherwood,24,NYJ,RILB,17,16,0,52,40,349,2,107,4.8,147,202,28,1,0,0,2,3,158,9
Robert Spillane,29,LVR,MLB,17,17,2,67,49,504,4,101.8,4.5,219,285,60,1,1,2,2,4,158,11
Roquan Smith,27,BAL,LILB,16,16,1,68,50,644,2,106.5,4.5,230,414,48,4,2,0,1.5,8,154,5
Zack Baun,28,PHI,LLB,16,16,1,68,50,379,0,80.5,2,73,306,64,2,1,1,3.5,7,151,8
Kaden Elliss,29,ATL,RILB,17,17,1,60,48,457,1,97,4.7,192,265,60,6,11,0,5,22,151,7
Daiyan Henley,25,LAC,LILB,17,17,1,79,56,525,1,87.8,3.1,120,405,52,2,2,0,1,5,147,14
Nick Cross,23,IND,SS,17,17,3,59,42,506,6,109.9,9.2,295,211,15,1,0,0,1,2,146,12
Jordyn Brooks,27,MIA,RILB,17,17,0,82,55,582,3,99.7,4.3,198,384,38,5,3,0,3,11,143,9
Germaine Pratt,28,CIN,MLB,17,17,2,71,50,505,2,88.1,2.6,93,412,43,3,4,2,0,7,143,18
E.J. Speed,29,IND,MLB,15,15,1,62,49,454,1,95.8,2.1,134,320,46,3,1,1,0,4,142,17
Eric Kendricks,32,DAL,MLB,15,15,2,36,26,375,2,101,3.9,87,288,36,1,0,1,3,4,138,9
Ernest Jones,25,2TM,RILB,16,15,1,48,35,362,0,85.6,4.4,144,218,55,0,2,1,0.5,3,138,9
Ernest Jones,25,TEN,RILB,6,5,0,10,8,82,0,100.8,3.7,24,58,13,0,1,1,0,1,44,3
Ernest Jones,25,SEA,LB,10,10,1,38,27,280,0,81,4.6,120,160,42,0,1,0,0.5,2,94,6
Kyzir White,28,ARI,RILB,17,17,1,51,38,410,1,96,2.8,106,304,47,2,5,0,2.5,10,137,8
Demario Davis,35,NOR,MLB,16,16,1,55,37,378,0,79.2,4.3,140,238,38,1,2,0,2,5,136,11
Christian Rozeboom,27,LAR,RLB,17,11,1,56,45,476,2,106.5,3.6,121,355,21,0,0,0,1,1,135,13
Bobby Wagner,34,WAS,MLB,17,17,0,38,25,215,1,89.3,4,30,185,41,3,5,0,2,11,132,8
Jack Campbell,24,DET,MLB,17,17,0,45,35,436,1,114.4,7.1,251,185,85,3,3,0,1.5,8,131,7
Fred Warner,28,SFO,MLB,17,17,2,58,46,389,3,97.5,4.3,147,242,32,3,1,0,1,5,131,17
Kevin Byard,31,CHI,SS,17,17,1,54,38,507,4,116.8,11.8,305,202,11,2,0,0,2,4,130,11
T.J. Edwards,28,CHI,LLB,17,17,1,71,55,504,0,90.3,3.6,147,357,50,2,2,1,4,8,129,5
Patrick Queen,25,PIT,LILB,17,17,0,76,58,561,4,114,4.2,183,378,59,2,4,1,1,7,129,9
Nakobe Dean,24,PHI,MLB,15,15,1,45,33,290,0,80.8,3.7,80,210,41,0,3,1,3,6,128,11
Lavonte David,34,TAM,LILB,17,17,1,78,66,608,2,102.4,4.5,253,355,80,6,1,1,5.5,13,122,14
Xavier Woods,29,CAR,FS,17,17,3,51,35,426,5,102.2,9.8,304,122,5,1,0,0,0,1,119,10
Jeremy Chinn,26,WAS,FS,17,17,1,53,39,459,7,131.2,9.6,292,167,22,1,1,0,2,4,117,7
Dorian Williams,23,BUF,RLB,17,11,0,59,43,390,3,107.3,4.6,144,246,41,4,2,0,0,6,117,11
Quincy Williams,28,NYJ,LILB,17,17,0,61,45,374,2,100,3,129,245,60,3,1,0,2,6,116,14
Brandon Jones,26,DEN,FS,16,15,3,70,47,492,2,79,7.3,245,247,14,2,1,0,0,3,115,8
Jahlani Tavai,28,NWE,RILB,17,16,1,55,42,431,1,96.9,4.4,170,261,48,5,1,1,1,7,115,8
Devin Lloyd,26,JAX,RLB,16,16,1,53,37,328,5,109.6,4.2,134,194,27,1,3,0,2,6,113,8
