Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
Blake Cashman,28,MIN,RILB,14,14,0,57,43,440,1,103,5.5,164,276,108,7,6,3,4.5,18,112,5
Grant Delpit,26,CLE,SS,16,16,0,49,39,472,4,134,7,201,271,32,1,4,0,1,6,111,6
Quentin Lake,25,LAR,SS,17,16,0,63,41,458,4,107.8,9.1,298,160,13,4,1,1,2,7,111,10
Tremaine Edmunds,26,CHI,MLB,17,17,1,61,38,372,0,72.6,3.7,93,279,37,1,2,1,1,4,110,10
Brian Branch,23,DET,SS,16,16,4,84,51,584,3,73.7,8.7,392,192,25,2,5,0,1,8,109,10
Julian Love,26,SEA,FS,17,17,3,65,39,401,6,89.3,8.5,251,150,10,0,0,0,0,0,109,10
DeShon Elliott,27,PIT,FS,15,14,1,59,39,308,3,88.8,6.2,171,137,22,1,2,1,0,3,108,3
Foyesade Oluokun,29,JAX,MLB,13,13,1,55,40,414,1,92.5,5.4,184,230,19,2,0,2,1,3,108,9
Kyle Hamilton,23,BAL,SS,17,17,1,58,42,326,1,84.4,5.2,173,153,34,1,4,2,2,7,107,9
Micah McFadden,24,NYG,RILB,14,14,0,43,36,333,2,114.4,3.8,155,178,29,2,2,0,3,8,107,15
Tyrel Dodson,26,2TM,LB,17,12,3,54,43,357,1,77.2,2.2,65,292,35,1,3,1,2,6,107,13
Tyrel Dodson,26,SEA,LILB,9,9,0,33,27,232,0,96,2.1,37,195,22,0,1,1,2,3,71,7
Tyrel Dodson,26,MIA,LB,8,3,3,21,16,125,1,66.7,2.4,28,97,13,1,2,0,0,3,36,6
Cody Barton,28,DEN,LILB,17,14,2,47,41,476,1,98.2,4.3,157,319,65,3,0,1,1.5,5,106,7
Nick Bolton,24,KAN,LLB,16,16,1,49,39,374,2,103.6,3.9,121,253,96,0,3,3,3,7,106,13
Henry To'oTo'o,23,HOU,LLB,15,15,1,42,35,369,4,125.1,4.4,140,229,38,1,0,1,1.5,3,105,12
Terrel Bernard,25,BUF,MLB,13,13,2,59,38,379,2,79.7,5.2,152,227,41,3,2,0,1,6,104,8
Tre'von Moehrig,25,LVR,SS,17,17,2,58,38,378,4,92.5,5.3,187,191,52,3,1,3,1,6,104,8
Logan Wilson,28,CIN,LLB,11,11,0,41,35,309,3,122.5,4.1,138,171,38,1,4,0,0,5,104,7
Josh Metellus,26,MIN,S,17,10,2,73,53,608,1,90.4,5.3,293,315,56,5,6,0,0,11,103,3
Jessie Bates III,27,ATL,SS,17,17,4,51,36,345,5,89.1,7.5,190,155,10,2,1,0,1,4,102,8
Quay Walker,24,GNB,LLB,13,13,0,51,41,367,0,96.7,5.2,168,199,33,5,0,0,2.5,8,102,8
Jaylon Jones,22,IND,LCB,17,17,2,101,67,814,1,86,9.5,538,276,0,0,0,0,0,0,100,17
Frankie Luvu,28,WAS,RLB,17,17,1,30,22,129,1,78.3,3,34,95,123,4,5,4,8,18,99,6
Tyler Nubin,23,NYG,FS,13,13,0,40,26,340,0,91.7,7,192,148,7,0,0,0,0,0,98,5
Jordan Poyer,33,MIA,FS,16,16,0,50,33,490,2,111.2,9,268,222,12,2,1,0,0,3,98,12
Jalen Thompson,26,ARI,SS,15,15,0,47,38,442,2,120,7.8,277,165,14,0,2,0,0,2,98,6
Devon Witherspoon,24,SEA,LCB,17,17,0,88,62,653,4,106.9,5.4,224,429,27,4,1,1,1,6,98,15
Josey Jewell,30,CAR,RILB,12,12,1,40,28,246,2,92.3,4.1,103,143,33,1,0,1,3.5,5,97,9
Isaiah McDuffie,25,GNB,RLB,17,17,0,56,47,405,5,126.6,3.3,137,268,17,2,2,0,0.5,5,97,10
Camryn Bynum,26,MIN,FS,17,17,3,52,32,442,2,77.6,12.2,271,171,7,0,0,0,0,0,96,7
Minkah Fitzpatrick,28,PIT,SS,17,17,1,52,41,540,4,127.6,9.6,348,192,8,0,0,0,0,0,96,4
Kenneth Murray,26,TEN,LILB,14,14,1,46,37,314,4,115,3.4,137,177,31,1,2,0,3.5,7,95,4
Drue Tranquill,29,KAN,MLB,16,16,0,47,33,260,0,83.6,3.4,85,175,82,2,6,0,2,11,94,14
Derwin James,28,LAC,SS,16,16,1,58,36,304,1,74.2,4.8,125,179,66,5,0,3,5.5,11,93,3
Bobby Okereke,28,NYG,LILB,12,12,0,49,30,284,1,84.1,1.9,48,236,19,1,0,0,2,4,93,8
Mike Sainristil,24,WAS,RCB,17,16,2,96,58,740,6,96.7,11.2,505,235,4,0,0,0,0,0,93,7
Pete Werner,25,NOR,LLB,13,13,0,48,38,306,0,93.2,3.5,99,207,22,2,0,0,0,2,92,7
Javon Bullard,22,GNB,SS,15,11,0,54,46,459,3,120.6,5.1,197,262,10,0,0,0,0,0,90,9
DeMarvion Overshown,24,DAL,RLB,13,12,1,52,45,497,2,111.3,2.7,122,375,51,6,1,0,5,12,90,12
Damar Hamlin,26,BUF,SS,14,14,2,37,27,396,2,103,10.9,271,125,7,0,0,0,0,0,89,7
Isaiah Pola-Mao,25,LVR,FS,17,14,0,49,36,540,3,129.6,9.7,342,198,13,1,0,0,1,2,89,14
Alontae Taylor,26,NOR,LCB,17,15,0,103,64,852,7,111,9.8,480,372,15,1,1,0,4,7,89,20
Tyrice Knight,24,SEA,ROLB,16,9,0,45,32,259,0,85.3,1,-1,260,22,1,2,1,1.5,5,88,4
Xavier McKinney,26,GNB,FS,17,17,8,49,36,564,1,78.5,13,408,156,13,1,0,0,1,2,88,3
Keisean Nixon,27,GNB,LCB,17,15,1,87,50,464,3,78.9,7.4,311,153,9,0,3,0,3,6,88,9
Edgerrin Cooper,23,GNB,LB,14,4,1,37,24,221,1,78.8,4.3,64,157,32,1,3,1,3.5,8,87,11
Quan Martin,24,WAS,SS,16,16,1,28,14,312,0,75.3,13,154,158,5,0,1,0,0,1,87,7
Justin Reid,27,KAN,SS,16,16,2,62,48,502,4,108.4,6.8,278,224,39,1,2,0,0,3,87,7
Harrison Smith,35,MIN,SS,16,16,3,65,43,506,4,90.9,10.2,319,187,44,4,0,2,1,5,87,9
Julian Blackmon,26,IND,FS,16,16,3,36,25,434,3,103.2,15.1,308,126,9,0,0,0,0.5,1,86,14
Riley Moss,24,DEN,RCB,14,14,1,103,67,747,4,95.4,11.2,541,206,2,1,0,0,0,1,86,10
Deommodore Lenoir,25,SFO,RLB,15,15,2,87,54,488,1,71.4,7.9,204,284,15,0,0,0,0,0,85,10
Jason Pinnock,25,NYG,SS,16,16,0,37,26,348,4,135.9,7.7,217,131,13,1,0,0,3,4,85,9
Tony Adams,25,NYJ,FS,15,11,1,44,29,417,2,102.2,9,190,227,15,2,1,0,1,4,84,10
DeAundre Alford,27,ATL,CB,16,11,0,93,67,606,8,117.9,7.7,428,178,13,1,0,0,1,2,83,16
Kerby Joseph,24,DET,FS,17,17,9,43,19,330,1,39.1,14.2,209,121,6,1,1,0,0,2,83,5
Akeem Davis-Gaither,27,CIN,RLB,17,7,1,45,35,330,0,88,3.9,77,253,21,1,1,1,0,2,82,9
Zyon McCollum,25,TAM,RCB,17,17,2,108,62,839,4,86.9,12,502,337,6,1,0,0,0,1,82,13
Taylor Rapp,27,BUF,FS,14,14,2,32,22,343,3,109.2,10.8,194,149,9,0,0,1,0,0,82,2
Donovan Wilson,29,DAL,FS,17,17,1,38,27,366,6,130,8.4,190,176,31,3,1,1,4.5,9,82,8
Kyle Dugger,28,NWE,FS,13,13,0,46,35,357,6,137.4,6.5,194,163,23,0,0,1,1,1,81,15
Malik Hooker,28,DAL,SS,17,17,2,40,25,311,2,82.4,12.1,154,157,4,1,1,0,0,2,81,6
Nathan Landman,26,ATL,LB,13,9,0,25,21,277,3,152.4,2.7,54,223,13,2,0,1,0,2,81,7
Ja'Quan McMillian,24,DEN,CB,17,9,2,101,65,688,3,85.7,7.1,398,290,22,1,1,0,1,3,81,7
Byron Murphy,26,MIN,RCB,17,17,6,119,78,852,4,76.7,9.4,540,312,4,0,0,0,0,0,81,9
Geno Stone,25,CIN,SS,17,17,4,33,22,312,5,97,14.8,254,58,16,1,4,0,0,5,81,15
Christian Elliss,25,NWE,LILB,16,5,1,24,16,184,1,86.1,9.2,98,86,23,1,3,0,1.5,6,80,6
Martin Emerson,24,CLE,RCB,17,15,0,97,59,701,5,100.1,11.3,487,214,0,0,0,0,0,0,80,7
Ventrell Miller,25,JAX,LLB,15,9,0,27,19,164,0,86,3.8,54,110,7,1,0,0,0,1,80,10
A'Shawn Robinson,29,CAR,RDE,16,16,0,1,1,3,0,79.2,-5,-5,8,0,1,2,1,5.5,9,80,5
De'Vondre Campbell,31,SFO,LLB,13,12,0,46,38,311,1,102.1,1.3,44,267,15,0,1,1,0,1,79,8
Kamren Curl,25,LAR,FS,16,16,0,45,25,369,4,112.2,10.4,222,147,22,3,0,1,1,4,79,10
Andrew Van Ginkel,29,MIN,RLB,17,17,2,22,19,71,2,72.5,0.5,4,67,110,5,9,2,11.5,26,79,5
Jordan Whitehead,27,TAM,FS,12,12,0,34,23,307,3,125.5,7.8,156,151,22,0,1,0,0,1,79,3
Reed Blankenship,25,PHI,FS,15,15,4,40,28,336,2,72.5,8.3,216,120,0,0,0,0,0,0,78,13
Bryan Cook,25,KAN,FS,17,17,2,47,29,397,3,92.2,11.3,247,150,4,0,0,0,0,0,78,5
Jordan Hicks,32,CLE,LB,12,12,0,39,24,252,0,80.3,4.1,101,151,26,3,4,0,2,9,78,2
Anfernee Jennings,27,NWE,ROLB,16,16,0,5,3,56,0,98.7,3.4,16,40,28,6,5,0,2.5,14,78,4
Kenny Moore,29,IND,RCB,15,15,3,74,47,408,5,83.6,7.6,200,208,18,1,1,0,0.5,3,78,15
Tyrique Stevenson,24,CHI,LCB,16,14,2,85,48,662,4,87.5,11.1,505,157,0,0,0,0,0,0,78,10
Payton Wilson,24,PIT,LB,17,4,1,39,31,215,0,79,2.7,33,182,22,1,2,1,0,3,78,7
Ji'Ayir Brown,24,SFO,FS,17,13,1,49,28,304,2,80.7,10.6,184,120,8,0,0,0,0,0,77,7
Chamarri Conner,24,KAN,DB,15,9,2,65,53,508,3,101.8,4.4,169,339,31,0,3,0,1,4,77,14
Cam Taylor-Britt,25,CIN,LCB,17,17,3,91,59,734,6,98,11.6,510,224,2,0,0,0,0.5,1,77,10
Devin Bush Jr.,26,CLE,LLB,16,10,0,18,11,107,0,77.8,1.6,21,86,26,4,1,0,1,6,76,3
Michael Jackson,27,CAR,RCB,17,17,2,96,64,845,6,106.5,10.3,582,263,2,0,0,0,0,0,76,6
Jeffery Simmons,27,TEN,DT,16,16,0,1,1,6,0,91.7,-1,-1,7,0,6,4,3,5,15,76,6
Montaric Brown,25,JAX,CB,17,10,1,78,53,582,4,101.5,8.7,387,195,1,0,0,0,0,0,75,10
Jarvis Brownlee,23,TEN,LCB,17,14,1,74,44,483,3,86.7,8.8,281,202,3,0,0,0,0,0,75,10
Kyler Gordon,25,CHI,DB,15,13,0,56,41,432,2,107.1,4.8,184,248,35,2,1,0,0.5,4,75,8
Christian Izien,24,TAM,SS,14,10,1,54,35,319,0,73,4.8,132,187,24,2,0,0,0,2,75,8
Elijah Molden,25,LAC,CB,15,12,3,38,24,292,1,62.6,15,198,94,1,0,0,0,0,0,75,4
Eric Murray,30,HOU,SS,17,14,1,56,36,506,3,103.7,9.8,238,268,12,0,1,0,1,2,75,12
Mack Wilson,26,ARI,LILB,16,16,1,28,23,179,0,78.4,3.2,52,127,46,2,4,3,3,9,75,6
Will Harris,29,NOR,SS,13,13,1,44,29,336,0,79.4,6.9,131,205,20,0,0,0,0,0,74,9
P.J. Locke,27,DEN,SS,15,15,0,54,40,484,4,125.8,8,297,187,15,0,0,0,1,1,74,5
Grover Stewart,31,IND,NT,17,17,0,3,3,34,0,113.9,-5.3,-16,50,0,4,2,3,3.5,10,74,8
Coby Bryant,25,SEA,SS,17,11,3,36,25,290,2,77.3,9,194,96,7,0,2,0,0,2,73,4
Mike Hilton,30,CIN,CB,16,10,1,61,41,356,3,92,4.7,193,163,39,3,1,1,0,4,73,5
Antonio Johnson,23,JAX,S,17,8,0,51,37,465,2,113.6,9.6,304,161,9,1,0,0,0,1,73,6
Trenton Simpson,23,BAL,RLB,17,13,0,35,26,242,3,121.4,3.1,90,152,28,0,2,0,1.5,4,73,5
Justin Strnad,28,DEN,RILB,17,8,0,43,31,247,0,86.1,1.1,17,230,42,4,1,3,3,8,73,6
K.J. Britt,25,TAM,RILB,14,11,0,30,22,246,1,108.5,4.2,96,150,23,1,0,0,0.5,2,72,7
Malik Mustapha,22,SFO,SS,16,12,1,20,7,83,1,44.4,12.2,44,39,7,1,0,0,0,1,72,8
Ivan Pace,24,MIN,LILB,11,10,1,31,22,237,2,101.1,2.8,87,150,44,4,4,0,3,11,72,8
Eric Wilson,30,GNB,MLB,17,12,1,37,31,314,2,108.8,4.4,139,175,17,3,2,0,2,7,72,11
Brian Burns,26,NYG,LOLB,17,17,0,5,3,36,0,82.1,6,21,15,26,16,9,6,8.5,34,71,7
Cameron Heyward,35,PIT,LDE,17,17,0,1,1,5,0,87.5,2,2,3,0,5,10,10,8,24,71,3
Amani Hooker,26,TEN,FS,14,14,5,39,22,269,3,63.9,12,138,131,9,0,2,0,0,2,71,6
Harold Landry,28,TEN,ROLB,17,17,0,9,7,44,0,87,-0.3,-1,45,14,3,6,1,9,18,71,7
Jourdan Lewis,29,DAL,LCB,16,13,1,57,39,299,2,85.3,7.3,152,147,16,0,1,0,1,2,71,5
Andru Phillips,23,NYG,CB,14,6,1,48,36,335,1,91.9,4.1,127,208,12,1,0,0,1,2,71,6
Benjamin St-Juste,27,WAS,LCB,17,14,0,88,54,715,4,102.2,10.5,512,203,2,0,0,0,0,0,71,6
Azeez Al-Shaair,27,HOU,MLB,11,11,0,36,23,244,1,92.8,5.7,78,166,29,0,5,0,2,7,70,4
Mohamoud Diabate,23,CLE,RLB,13,11,0,26,13,155,1,81.4,3.1,25,130,25,1,0,0,0,1,70,13
Joey Porter Jr.,24,PIT,RCB,16,16,1,86,54,684,0,82.7,9.6,483,201,0,0,0,0,0,0,70,8
Brandon Stephens,27,BAL,RCB,17,17,0,102,66,906,4,106.1,13.7,656,250,5,0,0,1,1.5,2,70,5
Chuck Clark,29,NYJ,SS,12,12,0,28,19,239,2,118,6.4,100,139,10,0,0,0,1,1,69,6
Jack Jones,27,LVR,LCB,17,16,3,86,54,571,8,98.5,9,353,218,2,0,0,0,0,0,69,15
Andre Cisco,24,JAX,SS,16,14,1,51,30,592,3,110.9,11.5,294,298,10,0,0,0,0,0,68,5
Jaycee Horn,25,CAR,LCB,15,15,1,77,41,474,6,92.7,10.3,330,144,5,0,0,0,2,2,68,7
Cameron Lewis,27,BUF,DB,17,6,1,61,46,493,2,102.7,5.3,210,283,22,2,0,0,0,2,68,11
Anthony Walker,29,MIA,LILB,14,8,1,40,29,326,1,94.4,3.2,99,227,19,2,0,1,1,3,68,7
Davon Godchaux,30,NWE,NT,17,17,0,0,0,0,0,,,0,0,0,1,1,1,0,2,67,2
Marlon Humphrey,28,BAL,LCB,16,16,6,96,58,556,3,60.9,6.2,327,229,23,0,3,0,0.5,4,67,6
Omar Speights,23,LAR,LILB,17,10,0,30,25,207,0,95.4,2.8,63,144,5,0,0,0,0,0,67,3
Mike Hughes,27,ATL,RCB,15,15,0,66,46,483,3,105.8,10.3,311,172,3,1,0,0,0,1,66,7
AJ Terrell,26,ATL,LCB,17,17,2,81,53,587,4,93,9.2,351,236,1,0,0,0,0,0,66,13
Jared Verse,24,LAR,ROLB,17,16,0,5,5,21,1,123.7,1.2,6,15,48,15,13,2,4.5,33,66,17
Ugo Amadi,27,NOR,S,11,5,0,71,46,469,3,97.7,7.9,279,190,24,1,0,1,2,3,65,5
Adam Butler,30,LVR,RDT,17,16,0,3,3,18,0,91.7,-3.7,-11,29,0,5,4,0,5,15,65,7
Taron Johnson,28,BUF,CB,12,12,2,54,38,374,1,80.3,6.9,179,195,11,1,0,0,1,2,65,2
Jalen Pitre,25,HOU,S,12,12,1,55,35,334,4,97.1,5.3,154,180,44,1,2,0,0,3,65,14
Christian Benford,24,BUF,RCB,15,15,2,58,37,316,4,86.6,8.1,156,160,4,0,0,0,1,1,64,2
D.J. Reed,28,NYJ,RCB,14,14,0,63,36,406,2,87.1,11.3,296,110,5,0,0,0,1,1,64,5
Trevin Wallace,21,CAR,LILB,13,8,0,23,20,232,1,123.2,2.7,51,181,17,0,0,0,1,1,64,7
Ar'Darius Washington,25,BAL,S,17,10,2,51,32,250,3,78.1,8,167,83,11,1,1,0,1,3,64,4
Leonard Williams,30,SEA,LDE,16,16,1,0,0,0,0,,,0,0,0,2,16,2,11,30,64,4
Alex Anzalone,30,DET,LLB,10,10,0,55,40,299,1,91.4,3.5,85,214,49,1,4,0,1,6,63,7
Divine Deablo,26,LVR,LLB,14,14,0,37,29,273,2,115.4,3.7,95,178,40,3,3,0,1,7,63,13
DaVon Hamilton,27,JAX,RDT,17,14,0,2,2,19,0,106.2,-2.5,-5,24,1,3,2,0,0,5,62,3
Jevon Holland,24,MIA,SS,15,15,0,48,26,321,2,89,6.3,108,213,17,0,1,0,1,2,62,6
Tyrann Mathieu,32,NOR,FS,17,17,3,36,22,422,1,76.4,13.3,255,167,8,2,0,0,0,2,62,15
Justin Simmons,31,ATL,FS,16,16,2,37,22,229,3,81.9,9.6,149,80,12,1,0,0,0,1,62,7
Tarheeb Still,22,LAC,RCB,14,12,4,76,49,563,4,82.3,9.1,330,233,5,0,0,0,0.5,1,62,7
Kobie Turner,25,LAR,LDE,17,16,0,3,3,30,0,108.3,-3.7,-11,41,0,10,4,4,8,22,62,3
Byron Young,26,LAR,LOLB,17,16,0,19,13,128,1,104.7,2.4,17,111,53,8,7,0,7.5,23,62,8
Zach Allen,27,DEN,LDT,16,16,0,3,1,10,0,43.7,-3.3,-1,11,0,7,29,0,8.5,47,61,5
DeForest Buckner,30,IND,DT,12,11,0,0,0,0,0,,,0,0,0,5,7,1,6.5,19,61,7
Carl Granderson,28,NOR,RDE,17,17,0,2,1,-5,0,56.2,4,-7,2,1,18,7,3,5.5,32,61,9
Renardo Green,24,SFO,CB,17,7,1,70,42,466,3,88.2,9.8,297,169,0,0,0,0,0,0,61,4
Jeremiah Owusu-Koramoah,25,CLE,MLB,8,8,1,16,11,141,0,70.1,4.1,42,99,43,0,1,0,3,4,61,7
Travon Walker,24,JAX,RDE,17,17,0,3,3,23,0,98.6,-3.7,-11,34,2,13,5,0,10.5,29,61,10
T.J. Watt,30,PIT,LOLB,17,17,0,5,5,33,0,94.2,-0.8,-4,37,23,3,16,3,11.5,31,61,4
Jerome Baker,28,2TM,LB,10,8,0,30,21,164,1,94.3,3.1,22,142,19,3,1,0,2,6,61,7
Jerome Baker,28,SEA,LB,5,5,0,17,14,97,0,90.4,-0.2,-19,116,8,1,0,0,1,2,37,3
Jerome Baker,28,TEN,LB,5,3,0,13,7,67,1,94.1,7.4,41,26,11,2,1,0,1,4,24,4
Terrion Arnold,21,DET,RCB,16,15,0,90,50,660,4,93.7,12.1,484,176,1,0,0,0,0,0,60,3
Leo Chenal,24,KAN,RLB,17,14,0,18,14,114,1,111.6,3.9,16,98,29,4,1,2,1,6,60,3
Jalen Ramsey,30,MIA,LCB,17,17,2,71,44,462,3,83.2,7.7,260,202,25,4,3,3,1,8,60,10
Antoine Winfield Jr.,26,TAM,SS,9,9,0,23,17,242,2,136.5,10.7,141,101,24,1,2,2,2,5,60,9
Tyson Campbell,24,JAX,RCB,12,12,0,55,34,473,2,101.6,11,315,158,1,0,0,0,0,0,59,4
Jamel Dean,28,TAM,LCB,12,12,1,66,46,511,1,91.2,10.8,371,140,2,0,0,0,0,0,59,4
C.J. Gardner-Johnson,27,PHI,SS,16,16,6,37,23,312,8,89,8.4,176,136,1,1,1,0,0,2,59,6
Christian Gonzalez,22,NWE,RCB,16,16,2,88,49,530,2,71.7,11.8,364,166,2,0,1,0,0,1,59,3
Jonathan Greenard,27,MIN,ROLB,17,17,0,16,11,65,0,76.3,0.5,-5,70,72,18,12,2,12,42,59,9
Neville Hewitt,31,HOU,LB,17,4,1,14,9,68,1,69.9,6.1,25,43,8,0,1,0,0,1,59,4
Trent McDuffie,24,KAN,LCB,16,16,2,90,54,545,4,82.9,9.6,371,174,18,1,3,1,0.5,5,59,4
Jordan Battle,24,CIN,S,17,6,1,26,16,206,2,96,10.5,147,59,13,0,1,0,0,1,58,5
Jonathon Cooper,26,DEN,LOLB,17,17,0,11,7,28,0,67.6,-1.7,-19,47,86,10,8,0,10.5,30,58,1
Rasul Douglas,29,BUF,LCB,15,15,0,59,43,518,4,122,9.8,366,152,5,0,0,0,0,0,58,3
Jonathan Jones,31,NWE,LCB,17,14,0,60,43,538,7,138.1,9.3,329,209,1,0,0,0,0,0,58,6
Marcus Jones,26,NWE,CB,14,9,1,65,41,530,3,97.6,11.3,374,156,5,0,0,0,0,0,58,4
Kamari Lassiter,21,HOU,RCB,14,14,3,73,32,424,4,64,13,261,163,7,1,0,0,0,1,58,7
Garrett Williams,23,ARI,LCB,16,11,2,62,35,329,3,73.9,7.8,138,191,7,1,0,0,0,1,58,6
Zaven Collins,25,ARI,LOLB,17,17,0,10,8,60,0,91.7,0.5,0,60,33,5,2,1,5,13,57,4
Troy Dye,28,LAC,LB,17,5,0,20,17,103,0,88.1,1.6,31,72,11,0,0,0,1.5,2,57,2
Kamren Kinchens,22,LAR,DB,17,4,4,41,30,353,4,91.9,7.6,203,150,2,0,0,0,0,0,57,6
Isaiah Oliver,28,NYJ,CB,17,7,0,42,32,368,2,118,7.2,145,223,18,3,1,0,1,5,57,7
Dane Belton,24,NYG,S,17,6,1,35,23,263,2,95.3,7.1,129,134,10,2,0,0,1,3,56,5
Carlton Davis,28,DET,LCB,13,13,2,76,42,567,2,77,10.1,385,182,1,0,0,0,0,0,56,7
Stephon Gilmore,34,MIN,LCB,15,15,1,84,52,596,4,94.1,9.2,360,236,0,0,0,0,0,0,56,3
Chauncey Golston,26,DAL,RDE,17,13,1,1,1,3,0,39.6,-1,-1,4,2,9,2,4,5.5,18,56,4
B.J. Hill,29,CIN,RDT,15,15,0,2,1,0,0,56.2,-4,-8,8,0,5,6,4,3,14,56,3
Michael Hoecht,27,LAR,OLB,17,5,0,14,12,133,0,106.2,3.3,38,95,25,6,2,1,3,12,56,4
Nazeeh Johnson,26,KAN,S,16,6,0,42,23,365,3,107.7,15.4,286,79,5,0,0,0,1,1,56,4
Harrison Phillips,28,MIN,NT,17,17,0,2,1,31,0,95.8,3.5,7,24,0,4,3,3,2,9,56,5
Keion White,25,NWE,LDE,17,13,0,13,12,112,0,102.6,-0.8,-10,122,6,12,10,5,5,28,56,5
Vonn Bell,30,CIN,FS,17,11,1,26,16,199,4,108.8,8,126,73,13,0,1,0,0,1,55,6
Noah Igbinoghene,25,WAS,CB,17,10,0,71,40,397,3,86.4,7.8,163,234,4,0,0,0,0,0,55,7
Darius Muasau,23,NYG,LB,15,7,1,15,12,123,0,73.1,3.4,47,76,13,1,1,0,0,2,55,6
Denzel Perryman,32,LAC,RILB,11,11,0,23,17,131,0,87.4,2.8,64,67,14,1,2,0,1,4,55,13
Zach Sieler,29,MIA,LDE,15,15,1,4,2,18,0,22.9,2,5,13,0,3,8,1,10,22,55,5
Calen Bullock,21,HOU,FS,17,13,5,35,15,168,2,37.3,15.2,76,92,1,0,0,0,0,0,54,7
