Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
Kevin Byard,29,TEN,SS,17,17,4,71,46,610,2,77.8,7.9,365,245,13,2,0,0,0,2,108,4
L'Jarius Sneed,25,KAN,LCB,17,17,3,104,69,649,4,84.2,6.8,312,337,40,3,3,2,3.5,10,108,5
Elandon Roberts,28,MIA,LILB,17,17,0,35,28,304,2,121.9,5.2,107,197,33,0,2,0,4.5,7,107,8
Mykal Walker,25,ATL,MLB,16,12,2,53,44,374,0,80.3,3.6,163,211,16,1,0,1,1,2,107,6
Quincy Williams,26,NYJ,LILB,15,15,0,51,44,306,0,91.7,3.8,170,136,10,0,3,0,3,7,106,9
Grant Delpit,24,CLE,SS,17,16,4,41,21,352,5,80.5,12.4,190,162,13,0,0,0,0,0,105,9
Jaquan Brisker,23,CHI,FS,15,15,1,48,27,352,4,98.6,9.5,209,143,15,1,0,0,4,5,104,7
Jamin Davis,24,WAS,LLB,16,15,0,52,33,315,1,86.6,2.6,80,235,37,3,3,1,3,9,104,3
Myles Jack,27,PIT,RILB,15,13,0,55,42,390,2,107.4,4.4,171,219,21,0,1,1,0,1,104,7
Adrian Amos,29,GNB,SS,17,17,1,50,35,428,3,107.7,8.8,310,118,10,1,2,0,1,4,102,4
Tremaine Edmunds,24,BUF,MLB,13,13,1,60,39,296,0,69.9,4.4,134,162,18,0,2,0,1,3,102,1
Chuck Clark,27,BAL,SS,17,17,0,43,32,270,1,98,5.5,123,147,14,1,0,0,0,1,101,4
John Johnson,27,CLE,FS,17,17,1,49,27,429,1,82.8,11.8,270,159,5,1,1,0,0.5,3,101,10
Donovan Wilson,27,DAL,FS,17,17,1,39,20,166,2,69,9.6,96,70,30,3,4,1,5,12,101,9
Jerome Baker,26,MIA,RILB,17,17,0,68,54,364,2,98.8,3,88,276,47,1,3,0,4,9,100,10
Zaven Collins,23,ARI,RILB,16,16,1,63,46,416,2,94.4,2.6,48,368,58,4,2,2,2,8,100,8
Matt Milano,28,BUF,LLB,15,15,3,68,45,388,0,62.6,3.7,129,259,36,3,5,0,1.5,10,99,13
Germaine Pratt,26,CIN,MLB,15,15,2,40,25,196,1,62.1,3.5,68,128,24,2,0,4,1,3,99,5
Isaiah Simmons,24,ARI,LILB,17,13,2,70,54,518,4,104.3,5.1,217,301,39,2,0,2,4,6,99,5
Christian Wilkins,27,MIA,LDE,17,17,0,1,1,4,0,83.3,-5,-5,9,1,8,2,5,3.5,15,98,1
Talanoa Hufanga,23,SFO,SS,17,17,4,55,35,399,6,91.4,8.9,240,159,28,2,1,0,2,5,97,8
De'Vondre Campbell,29,GNB,LILB,13,13,2,55,44,362,0,78.9,2.7,108,254,19,2,1,0,0,3,96,6
DeShon Elliott,25,DET,FS,14,13,1,38,31,552,2,125.3,15.6,432,120,16,2,1,0,0,3,96,5
Minkah Fitzpatrick,26,PIT,FS,15,15,6,54,33,516,5,84.1,10.5,314,202,11,1,1,0,0,2,96,5
Jevon Holland,22,MIA,FS,17,17,2,49,38,516,3,113.9,9.9,343,173,21,3,0,1,1.5,5,96,5
Rodney McLeod,32,IND,SS,17,15,2,68,46,455,5,98.6,7.3,223,232,10,1,0,0,0,1,96,6
Marcus Epps,26,PHI,SS,17,17,0,52,38,470,6,139.1,9.2,290,180,6,1,0,0,0,1,94,10
Kareem Jackson,34,DEN,SS,17,17,0,59,34,470,3,100.2,9.2,252,218,2,0,0,0,0,0,94,16
Taylor Rapp,25,LAR,SS,16,16,2,53,38,344,4,98.3,6.5,174,170,9,0,1,1,0,1,92,6
Damar Hamlin,24,BUF,FS,15,13,0,35,25,454,3,142.3,11,237,217,16,0,1,0,1.5,3,91,7
Tyrann Mathieu,30,NOR,FS,17,17,3,59,37,387,3,77.4,7.7,204,183,15,0,1,0,1,2,91,6
Taron Johnson,26,BUF,RLB,16,15,1,100,65,592,7,100.1,4.5,270,322,19,1,0,0,0,1,90,3
Leighton Vander Esch,25,DAL,MLB,14,14,0,31,24,214,0,95.4,3.8,87,127,17,2,0,0,1,3,90,3
Maxx Crosby,25,LVR,RDE,17,17,0,4,2,10,0,56.2,-2.5,-3,13,13,12,21,4,12.5,47,89,4
Desmond King,28,HOU,DB/LCB,17,13,2,56,40,365,2,85.8,6.9,204,161,8,1,1,1,0,2,89,7
Jordan Whitehead,25,NYJ,FS,17,17,2,42,23,301,3,81.5,10.7,167,134,5,0,0,0,0,0,89,8
Darrick Forrest,23,WAS,DB,17,11,4,55,30,448,4,75.4,12.3,286,162,7,0,0,0,0,0,88,3
Willie Gay Jr.,24,KAN,MLB,13,13,1,52,42,338,1,92.1,2.1,70,268,30,0,1,4,2.5,4,88,9
Jalen Ramsey,28,LAR,RCB,17,17,4,91,57,659,5,84.5,9.1,435,224,21,2,0,3,2,4,88,3
Jaylon Smith,27,NYG,LILB,13,11,0,28,23,224,0,100,5.5,92,132,21,2,1,0,1,4,88,0
Malcolm Rodriguez,23,DET,LLB,16,15,0,44,30,321,1,96.9,4.7,152,169,24,3,1,0,1,5,87,5
Charvarius Ward,26,SFO,RCB,17,17,1,95,54,612,3,82.4,9.7,410,202,3,0,0,0,0,0,87,0
Duron Harmon,31,LVR,SS,17,16,2,57,44,693,3,120,9,373,320,15,0,0,1,0,0,86,6
David Long,26,TEN,LILB,12,12,2,53,39,336,0,74.1,3.1,126,210,22,3,3,1,0,6,86,10
Nick Scott,27,LAR,FS,16,16,2,58,46,601,4,118.5,7.9,322,279,1,0,0,0,0,0,86,10
Xavier Woods,27,CAR,FS,15,15,0,55,33,452,1,92.4,11.3,246,206,20,1,1,0,0,2,86,6
Rasul Douglas,27,GNB,DB,17,12,4,84,54,583,6,88.5,7.5,312,271,3,0,0,0,1,1,85,6
Harrison Smith,33,MIN,SS,14,14,5,39,31,350,1,73,10.3,241,109,9,1,0,0,0,1,85,2
Jaylinn Hawkins,25,ATL,FS,16,16,2,38,25,331,4,106.4,9.3,216,115,8,1,1,0,0,2,84,7
Roger McCreary,22,TEN,LCB,17,17,1,108,73,850,6,105.9,9.2,581,269,16,2,0,0,0,2,84,8
Kamren Curl,23,WAS,SS,12,12,0,39,30,312,2,116.6,5.5,173,139,8,0,0,0,1,1,83,4
Denzel Perryman,30,LVR,MLB,12,11,2,29,21,119,1,62.3,1.8,18,101,46,2,4,0,1,7,83,7
Justin Reid,25,KAN,FS,17,17,0,58,37,388,4,106.1,7.2,243,145,34,1,3,1,1,5,83,8
Mike Edwards,26,TAM,FS,13,12,2,48,32,488,4,110.4,14.5,310,178,22,2,1,0,1,4,82,5
Kerby Joseph,22,DET,SS,17,14,4,40,25,294,6,84.8,13.9,213,81,4,0,1,0,0,1,82,7
Devin Bush Jr.,24,PIT,LILB,17,14,0,38,28,318,1,107.1,6.7,188,130,31,1,2,0,0,3,81,1
Camryn Bynum,24,MIN,FS,17,17,2,44,29,479,8,123,14.3,358,121,1,0,0,0,0,0,81,5
Eddie Jackson,29,CHI,SS,12,12,4,34,21,348,1,66.4,12.5,250,98,5,0,0,0,0,0,80,9
D.J. Reed,26,NYJ,LCB,17,17,1,85,54,489,2,81.9,11.7,323,166,2,0,0,0,0,0,80,6
Pete Werner,23,NOR,LLB,12,11,0,39,28,212,1,93.1,2.8,41,171,15,2,0,0,0,2,80,4
Antoine Winfield Jr.,24,TAM,SS,13,13,1,47,31,344,4,107,8.7,219,125,18,1,2,0,4,7,80,2
Deommodore Lenoir,23,SFO,LCB,17,13,1,83,55,695,1,91.2,8.9,418,277,13,1,1,0,1,3,79,9
Robert Spillane,27,PIT,LB,16,5,0,43,36,359,1,109.2,5.1,167,192,42,1,1,1,1,3,79,5
Kyle Dugger,26,NWE,SS,15,15,3,55,38,369,5,95.2,8.4,236,133,26,1,1,0,1,3,78,7
Kaden Elliss,27,NOR,RLB,17,11,0,31,19,176,0,76.8,5,82,94,24,1,2,0,7,11,78,5
Vonn Bell,28,CIN,SS,16,16,4,53,36,468,0,64,9.1,271,197,25,1,2,0,1,5,77,6
Jayron Kearse,28,DAL,SS,14,14,1,41,28,319,0,81.2,5.4,167,152,28,2,0,1,2,4,77,2
Bobby McCain,29,WAS,FS,17,16,0,52,41,404,2,111.9,7.3,238,166,14,1,1,0,0,2,76,2
Kenneth Murray,24,LAC,MLB,17,16,1,45,33,270,1,86.3,2.7,68,202,26,2,3,0,1,6,76,7
Sauce Gardner,22,NYJ,RCB,17,17,2,86,46,452,1,62.7,12.5,277,175,5,0,1,0,0,1,75,5
Michael Jackson,25,SEA,LCB,17,17,1,86,48,488,2,75.1,10.3,348,140,3,0,1,0,0,1,75,6
DeForest Buckner,28,IND,DT,17,16,0,4,3,3,0,77.1,-2.8,-9,12,1,9,10,2,8,29,74,2
Divine Deablo,24,LVR,LLB,8,8,0,36,30,252,3,123.6,4.1,128,124,22,0,0,1,0,0,74,3
Christian Harris,21,HOU,LLB,12,11,1,46,33,295,0,79.5,2.9,73,222,9,0,2,0,1,3,74,10
Cameron Heyward,33,PIT,DT,17,17,0,0,0,0,0,,,0,0,0,7,11,3,10.5,30,74,6
Andre Cisco,22,JAX,FS,15,15,3,29,22,365,4,117.4,8.7,200,165,14,0,0,1,1,1,73,3
Jeff Okudah,23,DET,RCB,15,15,1,77,46,681,1,87.6,10.9,411,270,2,0,0,0,0,0,73,6
Nate Hobbs,23,LVR,RCB,11,11,0,77,58,622,5,120.2,8.3,389,233,3,0,0,0,1,1,72,7
Kader Kohou,24,MIA,RCB,15,13,1,115,68,698,3,81.7,8.5,437,261,6,0,0,0,0,0,72,8
Jessie Bates III,25,CIN,FS,16,16,4,37,19,309,4,76.1,14.1,215,94,9,0,0,0,0,0,71,7
Quandre Diggs,29,SEA,FS,17,17,4,35,20,350,4,89.9,13.9,216,134,4,0,1,0,0,1,71,6
Kyler Gordon,23,CHI,RCB,14,14,3,82,63,764,3,101.9,7.4,418,346,18,1,0,1,0,1,71,2
Marlon Humphrey,26,BAL,RCB,17,17,3,79,51,590,3,83.8,9.6,420,170,7,2,1,0,3,6,71,1
Devin McCourty,35,NWE,FS,17,17,4,37,19,273,4,72.1,13.4,210,63,2,0,0,0,0,0,71,5
Sione Takitaki,27,CLE,MLB/RLB,12,8,0,29,26,215,0,97.6,2.7,75,140,20,2,0,0,1,3,71,6
Juan Thornhill,27,KAN,SS,16,16,3,47,32,428,5,105.6,12.4,321,107,4,0,1,0,1,2,71,9
Coby Bryant,23,SEA,DB,17,6,0,72,54,657,3,116.5,7.3,301,356,12,0,2,0,2,4,70,7
Myles Bryant,24,NWE,CB,17,6,1,70,47,509,4,101.4,9.1,358,151,10,0,0,0,0,0,70,5
Tyson Campbell,22,JAX,RCB,17,17,3,83,45,433,6,78,11.3,299,134,1,0,0,0,0,0,70,5
Jeremy Chinn,24,CAR,SS/FS,11,11,0,50,34,414,0,93.2,11,298,116,13,1,0,1,1,2,70,5
Terrell Edmunds,25,PIT,SS,15,15,0,33,20,264,3,116.2,9.9,167,97,10,1,0,0,2,3,70,6
Ben Niemann,27,ARI,LB,17,9,0,25,19,119,0,85.2,0.4,5,114,14,1,1,0,0,2,70,0
Jeremiah Owusu-Koramoah,23,CLE,LLB,11,10,0,39,27,306,5,132.1,4.1,100,206,26,1,1,0,0,2,70,8
Zach Sieler,27,MIA,RDE,17,15,0,2,2,9,0,85.4,-3.5,-7,16,0,4,8,4,3.5,16,70,2
Grover Stewart,29,IND,NT,17,17,0,4,3,42,0,108.3,-0.3,-2,44,0,5,3,2,4,12,70,5
Kwon Alexander,28,NYJ,ROLB,17,12,0,44,31,303,0,89.5,3.5,79,224,9,1,1,0,0.5,3,69,4
Troy Andersen,23,ATL,MLB,17,5,0,23,21,218,2,135.1,3.7,78,140,12,0,3,1,0,3,69,3
Cole Holcomb,26,WAS,MLB,7,7,0,22,16,172,2,125.6,5,82,90,24,0,1,0,0,1,69,4
Jonathan Jones,29,NWE,LCB,16,16,4,91,48,588,5,73,12.2,368,220,1,0,0,0,0,0,69,7
Justin Simmons,29,DEN,FS,12,12,6,47,36,330,4,84,6.2,158,172,1,0,0,0,0,0,69,8
Jahlani Tavai,26,NWE,RILB,17,12,0,29,22,124,1,94.6,1,34,90,19,4,1,0,1.5,7,69,0
B.J. Hill,27,CIN,RDT,16,16,0,2,2,5,0,79.2,-4.5,-9,14,0,3,9,3,3,16,68,1
Dexter Lawrence,25,NYG,NT,16,16,0,3,1,6,0,42.4,-0.3,2,4,0,8,19,2,7.5,36,68,1
Derrick Brown,24,CAR,LDT,17,17,1,1,0,0,0,0,-5,0,0,0,5,10,5,1,17,67,2
C.J. Gardner-Johnson,25,PHI,FS,12,12,6,52,38,446,3,78.4,11,323,123,10,1,1,0,1,3,67,11
Troy Hill,31,LAR,LCB,12,12,1,56,40,421,3,103.3,8,241,180,6,0,0,0,0,0,67,8
Stephon Gilmore,32,IND,RCB,16,16,2,89,50,577,2,74,8.8,332,245,0,0,0,0,0,0,66,5
Cameron Jordan,33,NOR,LDE,16,16,0,2,1,-3,0,56.2,-3,-6,3,3,4,3,1,8.5,17,66,3
Fabian Moreau,28,NYG,RCB,14,11,0,81,48,553,5,100.5,12.7,394,159,1,0,0,0,0,0,66,3
Ryan Neal,27,SEA,SS,14,10,1,52,26,191,2,63.9,7.9,91,100,10,0,0,0,1,1,66,6
Uchenna Nwosu,26,SEA,LOLB,17,17,0,16,12,142,0,101.6,1.3,-14,156,30,3,15,3,9.5,28,66,4
Patrick Peterson,32,MIN,RCB,17,17,5,89,53,696,5,79.6,11.1,387,309,2,0,0,0,0,0,66,3
Adrian Phillips,30,NWE,ROLB,17,8,0,36,24,280,2,108.6,7.5,195,85,9,0,1,0,0,1,66,3
Monty Rice,23,TEN,ROLB,13,6,0,29,23,198,1,106.6,4.6,87,111,9,0,2,0,0,2,66,4
Jonathan Allen,27,WAS,RDT,16,16,1,5,5,61,1,117.5,1.6,8,53,0,4,9,2,7.5,21,65,1
Carlton Davis,25,TAM,LCB,13,13,1,93,52,622,3,82.8,9.5,356,266,3,0,1,0,0,1,65,5
Danielle Hunter,28,MIN,LOLB,17,17,0,8,8,64,0,100,1.3,10,54,23,11,11,3,10.5,34,65,3
DeMarcus Lawrence,30,DAL,LDE,17,17,0,4,4,14,0,81.2,-2.3,-9,23,2,8,7,3,6,21,65,5
Damarri Mathis,23,DEN,RCB,16,11,0,81,56,513,1,90.2,8.2,335,178,3,0,0,0,0,0,65,15
Kenny Moore,27,IND,LCB,12,12,0,48,34,412,3,117.7,8.5,225,187,11,0,0,0,1,1,65,5
Micah Parsons,23,DAL,LLB,17,17,0,11,9,82,1,128,0.5,-9,91,68,13,14,2,13.5,41,65,5
Dylan Cole,28,TEN,RILB,15,8,0,32,29,257,2,121,3.8,107,150,11,2,0,0,1,3,64,8
Daron Payne,25,WAS,LDT,17,17,0,1,1,-3,0,79.2,-5,-5,2,1,5,8,4,11.5,25,64,5
Jack Sanborn,22,CHI,MLB,14,6,0,17,13,119,0,95,3.3,36,83,13,0,1,0,2,3,64,3
Brian Burns,24,CAR,LDE,16,16,0,12,6,46,0,59.7,2.1,8,38,29,8,9,3,12.5,30,63,4
Michael Carter II,23,NYJ,DB,17,6,2,77,50,473,1,75.3,4.8,152,321,16,3,0,0,0,3,63,1
Martin Emerson,22,CLE,CB,17,6,0,91,46,490,3,77.6,10.4,380,110,3,0,0,0,1,1,63,6
Alex Highsmith,25,PIT,ROLB,17,17,0,8,5,17,0,66.7,-0.5,-7,24,65,6,6,0,14.5,28,63,3
Keanu Neal,27,TAM,DB,17,8,1,28,21,245,3,121.9,9.6,114,131,14,1,4,0,0.5,6,63,7
Jordan Poyer,31,BUF,SS,12,12,4,31,21,146,2,60.1,6,81,65,12,0,0,0,0,0,63,3
E.J. Speed,27,IND,LB,17,5,0,11,9,89,1,130.7,5.1,45,44,13,1,0,2,1,2,63,3
Riq Woolen,23,SEA,CB,17,17,6,66,34,419,3,48.7,13.5,292,127,1,0,0,0,0,0,63,5
Andrew Adams,30,TEN,FS,13,11,1,57,43,464,2,103.3,7.6,174,290,6,1,1,0,0,2,62,9
Nasir Adderley,25,LAC,SS,16,15,2,38,23,403,1,83.6,15.2,270,133,1,0,0,0,0,0,62,6
Michael Davis,27,LAC,LCB,17,12,1,70,34,337,2,66.2,11.5,218,119,3,0,0,0,1,1,62,1
Davon Godchaux,28,NWE,NT,17,17,0,1,0,0,0,39.6,1,0,0,0,2,1,0,1.5,5,62,2
Kyle Hamilton,21,BAL,S,16,4,0,49,36,279,1,93.8,3.3,147,132,24,1,3,0,2,6,62,5
Malik Hooker,26,DAL,SS,16,6,3,27,20,220,2,82.9,8,145,75,2,0,0,0,0,0,62,7
Tashaun Gipson,32,SFO,FS,17,17,5,35,20,371,1,63.8,14.8,283,88,9,0,0,0,0.5,1,61,2
Grady Jarrett,29,ATL,RDT,17,17,0,4,3,22,0,87.5,-3.5,-6,28,0,4,11,1,6,22,61,1
Jaelan Phillips,23,MIA,LOLB,17,15,0,20,19,120,1,108.3,1.3,16,104,64,11,16,1,7,36,61,10
Joe Thomas,31,CHI,RLB,15,9,0,16,14,113,1,116.9,3.2,43,70,12,0,0,2,1,1,61,7
Marcus Williams,26,BAL,FS,10,10,4,30,23,322,0,71.1,9.9,190,132,5,0,0,0,0,0,61,4
Paulson Adebo,23,NOR,LCB,13,12,0,76,50,664,6,119.6,10.8,418,246,1,0,0,0,0,0,60,9
Myles Garrett,27,CLE,LDE,16,15,0,1,0,0,0,39.6,-2,0,0,2,11,9,4,16,38,60,1
Javon Hargrave,29,PHI,LDT,17,17,0,1,0,0,0,39.6,4,0,0,1,2,5,2,11,18,60,1
Mike Hilton,28,CIN,CB,14,4,1,69,43,430,1,78.8,6.7,235,195,30,0,4,1,0,4,60,6
Sam Hubbard,27,CIN,LDE,15,15,0,6,5,35,0,91,1.2,9,26,1,9,15,2,6.5,32,60,4
Matt Judon,30,NWE,LOLB,17,15,0,11,7,47,0,72.9,1.2,0,47,35,13,12,2,15.5,42,60,1
Marcus Maye,29,NOR,SS,10,10,0,18,12,98,0,80.3,6.3,45,53,1,0,0,0,0,0,60,1
Jabrill Peppers,27,NWE,DB,17,5,0,24,20,157,1,107.8,2.9,60,97,11,0,0,0,0,0,60,1
Chandon Sullivan,26,MIN,CB,17,10,0,72,51,638,1,102.7,7.7,323,315,15,1,1,2,0,2,60,3
Patrick Surtain II,22,DEN,LCB,17,17,2,77,45,468,4,82.6,11.5,360,108,3,0,1,0,0,1,60,5
Trevon Diggs,24,DAL,RCB,17,17,3,85,55,673,3,86.1,9.8,369,304,1,0,0,0,0,0,59,1
Leonard Floyd,30,LAR,ROLB,17,17,0,13,10,132,0,108.5,2.8,19,113,51,11,11,0,9,31,59,4
Myles Hartsfield,25,CAR,SS,15,10,0,49,35,376,4,120.8,6.3,224,152,12,4,1,0,0,5,59,4
Luke Masterson,24,LVR,RLB,17,7,0,15,14,125,2,141,3.8,47,78,3,0,1,0,0,1,59,2
Arthur Maulet,29,PIT,CB,17,6,1,39,24,348,3,105.5,7.5,187,161,23,2,1,0,2,5,59,7
Micah McFadden,22,NYG,RILB,17,7,0,23,20,211,1,119.4,2.9,61,150,24,1,0,0,2,3,59,3
Harrison Phillips,26,MIN,NT,17,17,0,1,1,0,0,79.2,-3,-3,3,0,5,4,1,1.5,11,59,2
Preston Smith,30,GNB,LOLB,17,17,0,7,6,75,0,111.3,-2.1,-10,85,33,8,9,1,8.5,27,59,4
Deatrich Wise Jr.,28,NWE,RDE,17,16,0,1,1,8,0,100,2,2,6,2,16,4,3,7.5,28,59,2
Anthony Barr,30,DAL,RLB,14,10,0,24,20,200,0,101.4,4.3,74,126,23,3,3,0,1,7,58,3
Lorenzo Carter,27,ATL,RLB,17,17,1,19,14,87,1,78.2,-1.1,-9,96,11,3,7,1,4,15,58,1
Alohi Gilman,25,LAC,S,17,5,1,22,15,320,0,92,13.5,226,94,0,0,0,0,0,0,58,3
C.J. Henderson,24,CAR,LCB,17,10,2,84,58,684,5,103.5,10.5,501,183,2,1,0,0,0,1,58,7
Darnell Savage Jr.,25,GNB,FS,16,13,1,44,30,444,3,114.2,10.1,304,140,8,0,0,0,0,0,58,6
Marco Wilson,23,ARI,RCB,14,13,3,87,50,546,4,77.1,8.9,344,202,8,1,1,0,0,2,58,9
Johnathan Abram,26,2TM,SS,13,8,0,54,34,375,0,83.5,6,150,225,25,3,2,0,0,5,58,3
Johnathan Abram,26,LVR,SS,8,6,0,37,27,260,0,92.2,6.1,111,149,22,2,2,0,0,4,48,2
Johnathan Abram,26,SEA,S,5,2,0,17,7,115,0,64.6,5.8,39,76,3,1,0,0,0,1,10,1
Jamel Dean,26,TAM,RCB,15,15,2,65,36,469,4,86,14,318,151,3,0,0,0,0,0,57,2
Will Harris,27,DET,RLB,15,10,1,61,43,522,3,106,9.2,347,175,20,4,0,0,0,4,57,2
Josh Hines-Allen,25,JAX,LOLB,17,17,0,17,9,130,2,117.3,3.8,51,79,30,15,18,1,7,40,57,2
Dane Jackson,26,BUF,RCB,15,14,2,78,46,538,3,82.1,10.1,412,126,4,0,0,0,0,0,57,7
Lamarcus Joyner,32,NYJ,SS,14,14,3,31,21,418,4,110.6,18.5,316,102,6,1,2,0,0,3,57,3
Asante Samuel Jr.,23,LAC,RCB,17,15,2,87,48,626,7,95.3,11,427,199,0,0,0,0,0,0,57,3
Jaire Alexander,25,GNB,LCB,16,16,5,82,49,572,2,63.7,9,366,206,0,0,0,0,0,0,56,4
DaVon Hamilton,25,JAX,NT,17,14,0,2,1,14,0,72.9,4.5,2,12,1,2,3,0,2.5,8,56,5
Sebastian Joseph-Day,27,LAC,RDT,16,16,1,3,2,0,0,30.6,-3,-6,6,0,2,4,0,2,8,56,2
Eric Rowe,30,MIA,SS,14,6,0,48,37,440,0,104.5,7.1,260,180,13,1,0,0,2,3,56,2
Tre'von Moehrig,23,LVR,FS,15,13,0,46,32,449,4,129.7,9.5,250,199,7,1,0,0,0,1,55,5
Darius Slay,31,PHI,RCB,17,17,3,79,46,532,5,83.9,10.5,365,167,1,0,0,0,0,0,55,3
Cam Taylor-Britt,23,CIN,RCB,10,9,0,58,34,483,3,102.9,12.8,347,136,1,0,0,0,0,0,55,6
Quinnen Williams,25,NYJ,RDE,16,16,0,2,1,7,0,58.3,-3.5,-3,10,0,2,16,3,12,31,55,2
