Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
Foyesade Oluokun,27,JAX,LILB,17,17,0,90,71,561,1,96.3,3.4,187,374,39,0,7,0,2,9,184,10
Nick Bolton,22,KAN,LLB,17,17,2,74,61,580,1,92.6,3.7,214,366,37,1,4,1,2,7,180,7
Roquan Smith,25,2TM,MLB,17,17,3,69,49,419,2,78.1,4.4,153,266,32,5,0,0,4.5,10,169,8
Roquan Smith,25,CHI,MLB,8,8,2,33,24,203,1,73.2,6.3,99,104,13,2,0,0,2.5,5,83,4
Roquan Smith,25,BAL,MLB,9,9,1,36,25,216,1,82.6,2.6,54,162,19,3,0,0,2,5,86,4
Zaire Franklin,26,IND,RLB/MLB,17,17,0,73,55,459,0,91.1,2.9,102,357,28,0,2,0,3,6,167,17
Alex Singleton,29,DEN,RILB,17,12,0,77,59,425,2,97.6,3.3,124,301,42,5,3,2,0,8,163,7
Jordyn Brooks,25,SEA,LILB,16,16,0,75,54,689,5,122.6,5,194,495,17,3,2,0,1,6,161,11
T.J. Edwards,26,PHI,RLB,17,17,0,76,53,400,0,82.1,2.6,79,321,23,4,3,0,2,9,159,11
Rashaan Evans,27,ATL,LLB,17,17,0,58,45,480,2,112.6,6.5,276,204,31,1,1,1,2,4,159,3
C.J. Mosley,30,NYJ,RILB,17,17,1,87,57,643,3,94.2,5.7,278,365,13,1,2,0,1,4,158,7
Bobby Okereke,26,IND,LLB,17,16,0,82,58,515,1,91.3,4,130,385,21,1,0,0,0,1,151,11
Jalen Pitre,23,HOU,SS,17,17,5,63,41,662,4,88.2,13.3,477,185,7,1,0,0,1,2,147,19
Drue Tranquill,27,LAC,LLB,17,16,1,43,37,376,1,101.2,5.5,163,213,36,1,3,0,5,9,146,9
Bobby Wagner,32,LAR,RILB,17,17,2,48,33,359,2,87.1,1.4,56,303,49,2,2,1,6,10,140,2
Eric Kendricks,30,MIN,RILB,17,17,0,85,63,583,2,100.3,3.5,202,381,32,3,1,1,1,5,137,12
Cody Barton,26,SEA,RILB,17,11,2,51,44,382,2,94.6,3.4,133,249,12,0,0,0,2,2,136,1
Shaq Thompson,28,CAR,LLB,17,17,0,70,47,379,2,90.1,2.8,90,289,35,1,1,0,0.5,3,135,11
Fred Warner,26,SFO,MLB,17,17,1,68,41,438,0,73,4.3,142,296,35,2,3,0,2,8,130,8
Jordan Hicks,30,MIN,LILB,17,17,1,63,48,562,1,101.4,3.7,156,406,17,1,1,2,3,5,129,8
Josey Jewell,28,DEN,LILB,13,13,2,66,52,525,2,97.3,3.9,147,378,43,0,2,0,2.5,5,128,9
Dre Greenlaw,25,SFO,RLB,15,15,1,89,70,483,1,88.3,2.9,163,320,23,2,0,1,0,2,127,9
Alex Anzalone,28,DET,MLB,17,17,1,46,32,318,0,79.8,5.7,129,189,60,5,3,0,1.5,10,125,10
Ja'Whaun Bentley,26,NWE,LILB,17,17,1,47,37,321,0,86.3,2.6,65,256,51,6,2,0,3,11,125,10
Jonathan Owens,27,HOU,FS,17,17,0,42,28,474,3,128.5,10.6,293,181,4,0,0,0,1,1,125,8
Lavonte David,32,TAM,RILB,17,17,0,73,55,376,1,90.9,3.7,156,220,24,0,0,0,3,3,124,9
Christian Kirksey,30,HOU,MLB,17,17,2,60,45,407,2,90.1,5.3,166,241,32,1,4,0,3,9,124,10
Julian Love,24,NYG,SS,16,16,2,50,34,333,3,89.8,9.5,180,153,16,1,0,0,1,2,124,5
Devin White,24,TAM,LILB,17,17,0,60,46,400,2,104.9,2.8,137,263,65,7,9,0,5.5,22,124,11
Richie Grant,25,ATL,SS,17,17,2,62,39,446,3,87.2,10.1,240,206,11,1,1,0,0,2,123,8
Logan Wilson,26,CIN,RLB/MLB,15,15,1,74,55,489,1,90.4,4.2,210,279,38,3,4,0,2.5,10,123,6
Quay Walker,22,GNB,RILB,17,16,0,45,24,184,0,63.6,3,32,152,52,2,3,0,1.5,7,121,6
Patrick Queen,23,BAL,RLB,17,17,2,66,51,464,0,83.1,3.4,136,328,64,3,7,1,5,17,117,9
Rayshawn Jenkins,28,JAX,SS,17,17,3,55,39,450,1,78.6,8.8,259,191,23,5,2,2,1,8,116,18
Nicholas Morrow,27,CHI,LLB,17,17,1,44,33,333,2,101.8,6.5,150,183,24,5,0,0,0,5,116,6
Derwin James,26,LAC,FS,14,14,2,58,38,398,2,82.4,8,231,167,23,2,1,0,4,7,115,5
Devin Lloyd,24,JAX,RILB,17,15,3,79,61,648,4,101.7,5,236,412,38,1,2,0,0,3,115,14
Ernest Jones,23,LAR,LILB,17,11,1,53,42,333,0,85,3.4,128,205,13,1,1,0,0,2,114,7
Budda Baker,26,ARI,FS,15,15,2,40,30,282,3,98.1,5,108,174,55,5,1,0,0,6,111,14
Frankie Luvu,26,CAR,RLB,15,14,1,48,34,277,3,97.3,1.6,71,206,57,3,3,2,7,13,111,7
Jalen Thompson,24,ARI,SS,17,17,1,56,38,512,4,113.1,10.5,277,235,3,0,1,0,0,1,110,4
Kyzir White,26,PHI,DB,17,8,0,65,42,288,0,74.4,2.4,69,219,20,0,1,0,1.5,3,110,5
Demario Davis,33,NOR,MLB,17,17,1,49,33,274,2,86.6,3,61,213,26,1,2,1,6.5,10,109,10
