Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
D'Angelo Ross,27,HOU,CB,13,0,0,1,1,75,1,158.3,43,43,32,0,0,0,0,0,0,8,0
Jaquelin Roy,23,MIN,DL,12,1,0,0,0,0,0,,,0,0,0,0,1,0,0,1,8,0
Duke Shelley,27,LAR,DB,11,0,0,11,6,59,0,69.9,7.7,47,12,0,0,0,0,0,0,8,0
Ben Stille,26,ARI,DL,5,0,0,0,0,0,0,,,0,0,0,2,0,0,1,3,8,0
Pierre Strong,25,CLE,RB,17,1,0,0,0,0,0,,,0,0,2,0,0,0,0,0,8,0
Chazz Surratt,26,NYJ,LB,14,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,8,0
Shaq Thompson,29,CAR,LB,2,2,0,5,4,32,0,93.3,3.6,12,20,3,1,0,0,0,1,8,2
Jay Ward,23,MIN,S,17,0,0,2,2,26,1,158.3,1,2,24,2,0,0,0,0,0,8,2
Chandler Wooten,24,CAR,LB,8,0,0,4,2,17,0,61.5,2.8,0,17,2,0,0,0,0,0,8,0
Frank Clark,30,2TM,DE,8,0,0,3,3,16,0,88.9,-1.7,-5,21,0,1,0,0,0,1,8,0
Frank Clark,30,DEN,DE,2,0,0,2,2,9,0,85.4,-1.5,-3,12,0,0,0,0,0,0,2,0
Frank Clark,30,SEA,LB,6,0,0,1,1,7,0,95.8,-2,-2,9,0,1,0,0,0,1,6,0
Micah Abernathy,26,ATL,S,12,0,0,2,2,12,0,91.7,5.5,11,1,2,0,0,0,0,0,7,0
Brian Asamoah,23,MIN,LB,13,0,0,1,1,1,0,79.2,-5,-5,6,1,1,0,0,0,1,7,1
Joey Blount,25,ARI,S,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
Mike Brown,24,TEN,S,9,1,0,7,5,52,0,92.6,5.3,13,39,1,0,0,0,0,0,7,0
Deon Bush,30,KAN,DB,6,0,0,2,2,28,0,118.7,5,10,18,0,0,0,0,0,0,7,2
Marcus Davenport,27,MIN,DL,4,3,0,1,1,0,0,79.2,-6,-6,6,7,2,2,0,2,6,7,0
Bryce Hall,26,NYJ,CB,9,2,1,12,6,87,0,39.2,11.7,45,42,1,0,0,0,0,0,7,1
Melvin Ingram,34,MIA,LB,3,0,0,1,1,26,0,118.7,21,21,5,1,1,0,0,1.5,3,7,1
Drake Jackson,22,SFO,DL,8,0,0,1,0,0,0,39.6,-4,0,0,1,4,1,1,3,8,7,0
Patrick Johnson,25,PHI,LB,15,0,0,0,0,0,0,,,0,0,3,1,0,0,0,1,7,1
Sam Kamara,26,CLE,DE,2,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,7,0
Darrell Luter,23,SFO,CB,7,0,0,5,2,20,0,52.1,16,4,16,0,0,0,0,0,0,7,0
Jacob Martin,28,IND,DE,17,0,0,0,0,0,0,,,0,0,0,1,1,0,2,4,7,0
Tyler Matakevich,31,BUF,LB,17,0,0,2,0,0,0,39.6,6.5,0,0,0,0,0,0,0,0,7,0
Nik Needham,27,MIA,CB,10,0,0,8,6,44,0,87.5,10.4,31,13,2,0,0,0,0,0,7,1
Dare Ogunbowale,29,HOU,RB,12,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,7,0
Julian Okwara,26,DET,LB,9,1,0,1,1,20,0,118.7,14,14,6,2,1,2,1,2,5,7,1
Myjai Sanders,25,HOU,DE,7,0,0,1,1,9,0,104.2,-7,-7,16,2,2,2,0,0,4,7,1
Grant Stuard,25,IND,LB,17,0,0,2,2,29,0,118.7,5,10,19,4,0,0,0,0,0,7,0
Carlos Watkins,30,ARI,DT,2,1,0,0,0,0,0,,,0,0,0,0,0,1,1,1,7,0
Samuel Womack,24,SFO,CB,7,0,0,5,4,19,1,122.1,4.6,15,4,0,0,0,0,0,0,7,0
Myles Adams,25,SEA,DT,11,1,0,0,0,0,0,,,0,0,0,4,0,0,1,5,6,0
Jalyn Armour-Davis,24,BAL,CB,8,0,0,3,3,19,0,93.1,3.3,10,9,0,0,0,0,0,0,6,0
Luke Gifford,28,TEN,LB,11,1,0,1,1,8,0,100,3,3,5,0,0,0,0,0,0,6,0
Trevis Gipson,26,TEN,OLB,8,0,0,1,1,17,0,118.7,15,15,2,1,1,0,0,1,2,6,1
