Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
Keaontay Ingram,24,ARI,RB,8,1,0,1,1,5,0,87.5,0,0,5,0,0,0,0,0,0,0,0
Zack Kuntz,24,NYJ,TE,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1
Tyreek Maddox-Williams,26,ARI,LB,3,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Marcus McKethan,24,NYG,OL,16,5,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Zack Moss,26,IND,RB,14,8,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1
Amani Oruwariye,27,JAX,CB,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
Jayden Reed,23,GNB,WR,16,13,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1
Daniel Sorensen,33,NOR,S,2,0,0,1,1,8,0,100,0,0,8,0,0,0,0,0,0,0,1
Teez Tabor,28,SEA,S,1,0,0,1,0,0,0,39.6,9,0,0,0,0,0,0,0,0,0,0
Zachary Thomas,25,LAR,OL,2,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0
SaRodorick Thompson,24,SEA,RB,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1
Jason Verrett,32,SFO,CB,1,0,0,1,1,6,1,131.2,6,6,0,0,0,0,0,0,0,0,0
Sam Webb,25,CAR,S,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1
Benton Whitley,24,2TM,LB,4,0,0,1,0,0,0,39.6,-2,0,0,3,1,0,1,0,1,0,1
Benton Whitley,24,MIN,LB,1,0,0,0,0,0,0,,,0,0,3,1,0,0,0,1,0,1
Benton Whitley,24,NYG,OLB,3,0,0,1,0,0,0,39.6,-2,0,0,0,0,0,1,0,0,0,0
